node_id,node_type,label,avg_rpi,n_paket,degree_cent,in_degree,pagerank,risk_influence,betweenness,cluster_id
L::Badan Pemeriksa Keuangan,lembaga,Badan Pemeriksa Keuangan,28.75,3108,0.0023,0.0,0.00331,0.000952,0.0,0
L::Provinsi DKI Jakarta,lembaga,Provinsi DKI Jakarta,23.64,59043,0.0214,0.0,0.062875,0.014864,0.0,0
L::Provinsi DI Yogyakarta,lembaga,Provinsi DI Yogyakarta,17.85,15250,0.0029,0.0,0.01624,0.002899,0.0,0
L::Badan Pengawasan Keuangan Dan Pembangunan,lembaga,Badan Pengawasan Keuangan Dan Pembangunan,32.05,1935,0.0022,0.0,0.002061,0.00066,0.0,0
L::Kementerian Kesehatan,lembaga,Kementerian Kesehatan,28.74,13827,0.0061,0.0,0.014724,0.004232,0.0,0
L::Kementerian Keuangan,lembaga,Kementerian Keuangan,39.58,33258,0.0243,0.0,0.035416,0.014018,0.0,0
L::Komisi Pemberantasan Korupsi,lembaga,Komisi Pemberantasan Korupsi,33.73,679,0.0002,0.0,0.000723,0.000244,0.0,0
L::Kementerian Perhubungan,lembaga,Kementerian Perhubungan,34.81,22318,0.0161,0.0,0.023766,0.008273,0.0,0
L::Kota Mataram,lembaga,Kota Mataram,27.99,7909,0.0017,0.0,0.008422,0.002357,0.0,0
L::Kepolisian Negara Republik Indonesia,lembaga,Kepolisian Negara Republik Indonesia,27.51,22449,0.0385,0.0,0.023906,0.006576,0.0,0
L::Kab. Buru Selatan,lembaga,Kab. Buru Selatan,26.25,71,0.0002,0.0,7.6e-05,2e-05,0.0,0
L::Kementerian Pertahanan,lembaga,Kementerian Pertahanan,12.28,95066,0.0206,0.0,0.101235,0.012432,0.0,0
L::Kementerian Kelautan Dan Perikanan,lembaga,Kementerian Kelautan Dan Perikanan,31.4,10654,0.0055,0.0,0.011345,0.003562,0.0,0
L::Kementerian Perencanaan Pembangunan Nasional,lembaga,Kementerian Perencanaan Pembangunan Nasional,30.25,1785,0.0004,0.0,0.001901,0.000575,0.0,0
L::Kota Magelang,lembaga,Kota Magelang,20.87,9811,0.0018,0.0,0.010448,0.00218,0.0,0
L::Kementerian Agama,lembaga,Kementerian Agama,27.42,27963,0.0467,0.0,0.029778,0.008165,0.0,0
L::Satuan Kerja Khusus Pelaksana Kegiatan Hulu Minyak dan Gas Bumi,lembaga,Satuan Kerja Khusus Pelaksana Kegiatan Hulu Minyak dan Gas Bumi,21.1,53,0.0001,0.0,5.6e-05,1.2e-05,0.0,0
L::Kab. Bandung,lembaga,Kab. Bandung,30.19,10959,0.0019,0.0,0.01167,0.003523,0.0,0
L::Kementerian Perdagangan,lembaga,Kementerian Perdagangan,37.22,2490,0.0022,0.0,0.002652,0.000987,0.0,0
"L::Kementerian Pendidikan Tinggi, Sains, dan Teknologi",lembaga,"Kementerian Pendidikan Tinggi, Sains, dan Teknologi",35.49,11555,0.0047,0.0,0.012305,0.004367,0.0,0
L::Kota Denpasar,lembaga,Kota Denpasar,19.83,7786,0.0021,0.0,0.008291,0.001644,0.0,0
L::Mahkamah Agung,lembaga,Mahkamah Agung,21.66,6395,0.0425,0.0,0.00681,0.001475,0.0,0
L::Kementerian Pendidikan Dasar dan Menengah,lembaga,Kementerian Pendidikan Dasar dan Menengah,44.71,15149,0.0056,0.0,0.016132,0.007213,0.0,0
L::Kota Batam,lembaga,Kota Batam,19.37,11269,0.0039,0.0,0.012,0.002324,0.0,0
L::Kementerian Pariwisata,lembaga,Kementerian Pariwisata,32.03,1427,0.0011,0.0,0.00152,0.000487,0.0,0
L::Arsip Nasional Republik Indonesia,lembaga,Arsip Nasional Republik Indonesia,28.93,1083,0.0003,0.0,0.001153,0.000334,0.0,1
L::Pusat Pelaporan Dan Analisis Transaksi Keuangan,lembaga,Pusat Pelaporan Dan Analisis Transaksi Keuangan,29.01,413,0.0002,0.0,0.00044,0.000128,0.0,0
L::Kementerian Energi Dan Sumber Daya Mineral,lembaga,Kementerian Energi Dan Sumber Daya Mineral,35.79,4695,0.002,0.0,0.005,0.001789,0.0,0
L::Kab. Cirebon,lembaga,Kab. Cirebon,26.84,11039,0.0038,0.0,0.011755,0.003155,0.0,0
L::Kementerian  Kehutanan,lembaga,Kementerian  Kehutanan,30.53,11848,0.0065,0.0,0.012617,0.003852,0.0,0
L::Dewan Perwakilan Rakyat,lembaga,Dewan Perwakilan Rakyat,43.77,1055,0.0002,0.0,0.001123,0.000492,0.0,0
L::Kementerian Pertanian,lembaga,Kementerian Pertanian,27.59,10852,0.0059,0.0,0.011556,0.003188,0.0,0
L::Kementerian Dalam Negeri,lembaga,Kementerian Dalam Negeri,33.41,3517,0.0021,0.0,0.003745,0.001251,0.0,0
L::Mahkamah Konstitusi Ri,lembaga,Mahkamah Konstitusi Ri,31.76,106,0.0001,0.0,0.000113,3.6e-05,0.0,0
L::Provinsi Kalimantan Selatan,lembaga,Provinsi Kalimantan Selatan,19.04,20560,0.0036,0.0,0.021894,0.004169,0.0,0
L::Kementerian Agraria dan Tata Ruang/BPN,lembaga,Kementerian Agraria dan Tata Ruang/BPN,26.79,58901,0.0158,0.0,0.062723,0.016804,0.0,0
L::Kementerian Imigrasi dan Pemasyarakatan,lembaga,Kementerian Imigrasi dan Pemasyarakatan,30.69,37145,0.0313,0.0,0.039556,0.01214,0.0,0
L::Kota Jambi,lembaga,Kota Jambi,15.17,6463,0.0039,0.0,0.006882,0.001044,0.0,0
L::Provinsi Lampung,lembaga,Provinsi Lampung,17.45,5528,0.0015,0.0,0.005887,0.001027,0.0,0
L::Universitas Indonesia,lembaga,Universitas Indonesia,35.02,76,0.0001,0.0,8.1e-05,2.8e-05,0.0,0
L::Provinsi Jawa Barat,lembaga,Provinsi Jawa Barat,28.24,12482,0.0024,0.0,0.013292,0.003754,0.0,0
L::Kab. Gianyar,lembaga,Kab. Gianyar,20.76,5225,0.0027,0.0,0.005564,0.001155,0.0,0
L::Kota Batu,lembaga,Kota Batu,16.83,4705,0.0014,0.0,0.00501,0.000843,0.0,0
L::Kab. Gresik,lembaga,Kab. Gresik,25.34,8038,0.0026,0.0,0.00856,0.002169,0.0,0
L::Kab. Banyumas,lembaga,Kab. Banyumas,21.05,11100,0.0047,0.0,0.01182,0.002488,0.0,0
